Coenti;Noenti;Cogrupo;Nogrupo
10669     ;RS PREVIDÊNCIA;     ;
10677     ;ARC PREVIDÊNCIA PRIVADA;     ;
10707     ;MBM PREVIDÊNCIA COMPLEMENTAR;     ;
10847     ;PREVIMIL PREVIDÊNCIA COMPLEMENTAR S.A.;     ;
10898     ;RECÍPROCA ASSISTÊNCIA;     ;
10901     ;SABEMI PREVIDÊNCIA PRIVADA;     ;
10961     ;PREVICORP PREVIDÊNCIA PRIVADA;     ;
10979     ;AUXILIADORA PREVIDÊNCIA;     ;
10987     ;SOCIEDADE CAXIENSE DE MÚTUO SOCORRO - PREVIDÊNCIA PRIVADA;     ;
11029     ;UNIÃO DE PREVIDÊNCIA S.A.;     ;
11037     ;SUL AMERICA PREVIDENCIA PRIVADA S/A     ;     ;
11045     ;BRASILPREV PREVIDÊNCIA PRIVADA S/A.(dados até Maio/2002);     ;
11070     ;COMPREV PREVIDÊNCIA S.A. (ATUAL DENOMINAÇÃO DE UNIÃO PREVIDENCIÁRIA COMETA DO BRASIL);     ;
11088     ;FUTURO - PREVIDÊNCIA PRIVADA ;     ;
11096     ;UPOFA - UNIÃO PREVIDENCIAL;     ;
11126     ;HOJE PREVIDÊNCIA PRIVADA;     ;
11134     ;ASPECIR PREVIDÊNCIA;     ;
11304     ;LUTERPREV- ENTIDADE LUTERANA DE PREVIDÊNCIA;     ;
11312     ;PACTUAL PREVID-NCIA PRIVADA S/A         ;     ;
12467     ;MATONE PREVIDÊNCIA PRIVADA S.A.;     ;
14257     ;BP PREVIDÊNCIA PRIVADA S.A.;     ;
14818     ;UNIMED PREVIDÊNCIA PRIVADA S.A.;     ;
15580     ;BMC PREVIDÊNCIA PRIVADA S.A.;     ;
15806     ;THE FUJI FIRE & MARINE INSURANCE CO.;     ;
17400     ;EVIDENCE PREVIDÊNCIA S.A.;     ;
18091     ;BOSTON PREVIDÊNCIA PRIVADA;     ;
19291     ;MAPFRE NOSSA CAIXA VIDA PREVIDÊNCIA S/A;     ;
20141     ;BRASILCAP CAPITALIZAÇÃO S.A.;     ;
20281     ;HORIZONTE CAPITALIZAÇÃO S.A.;     ;
20621     ;BANDEIRANTES S/A CAPITALIZAÇÃO;     ;
20826     ;MONGERAL AEGON CAPITALIZAÇÃO S.A;     ;
21334     ;ICATU CAPITALIZAÇÃO S.A.;     ;
21482     ;UNIBANCO CIA DE CAPITALIZAÇÃO;     ;
21491     ;CAPEMISA CAPITALIZAÇÃO S.A.;     ;
21628     ;VANGUARDACAP CAPITALIZAÇÃO S.A.;     ;
21661     ;CIA. ITAÚ DE CAPITALIZAÇÃO;     ;
21946     ;SUL AMÉRICA CAPITALIZAÇÃO S.A.(INATIVA);     ;
22110     ;ALFA CAPITALIZAÇÃO S.A.;     ;
22268     ;AMÉRICA CAPITALIZAÇÃO S.A.;     ;
22683     ;ZURICH BRASIL CAPITALIZAÇÃO S.A.;     ;
22764     ;CREFICAP CAPITALIZAÇÃO S.A.;     ;
22896     ;ITAÚ CAPITALIZAÇÃO S.A.;     ;
22926     ;BB CAPITALIZAÇÃO S.A.;     ;
23345     ;ATLÂNTICA CAPITALIZAÇÃO S.A.;     ;
23566     ;BRADESCO CAPITALIZAÇÃO S.A.;     ;
24015     ;EXCEL CAPITALIZAÇÃO S/A;     ;
24872     ;XS4 CAPITALIZAÇÃO S.A.;     ;
25429     ;RIO GRANDE CAPITALIZAÇÃO  S.A.;     ;
25585     ;CNP CAPITALIZAÇÃO S/A;     ;
25712     ;REAL CAPITALIZAÇÃO S/A;     ;
25941     ;CAPITALIZA EMPRESA DE CAPITALIZAÇÃO S.A.;     ;
26026     ;LIDERANÇA CAPITALIZAÇÃO S/A;     ;
26158     ;KIRTON CAPITALIZAÇÃO S.A.;     ;
27138     ;MOTRIN CAPITALIZAÇÃO S.A.;     ;
27995     ;HSBC CAPITALIZAÇÃO (BRASIL) S.A.;     ;
28134     ;HSBC FINANCIAL CAPITALIZAÇÃO (BRASIL) S.A.;     ;
28258     ;MAPFRE CAPITALIZAÇÃO S.A.;     ;
28878     ;PORTO SEGURO CAPITALIZAÇÃO S.A.;     ;
28932     ;RIO’S CAPITALIZAÇÃO S.A.;     ;
29319     ;SANTANDER CAPITALIZAÇÃO S.A.;     ;
29521     ;V. R. CAPITALIZAÇÃO S/A;     ;
30074     ;ALLIANZ GLOBAL CORPORATE & SPECIALTY RESSEGUROS BRASIL S.A.;     ;
30201     ;TERRA BRASIS RESSEGUROS S.A.;     ;
31551     ;SCOR BRASIL RESSEGUROS S.A.;     ;
31623     ;IRB BRASIL RESSEGUROS S/A;     ;
32875     ;ZURICH RESSEGURADORA BRASIL S.A.;     ;
33294     ;MAPFRE RE DO BRASIL COMPANHIA DE RESSEGUROS                                                                                 ;     ;
34665     ;XL RESSEGUROS BRASIL S.A.;     ;
34819     ;AUSTRAL RESSEGURADORA S.A.;     ;
36099     ;AXA XL RESSEGUROS S.A.;     ;
37052     ;BTG PACTUAL RESSEGURADORA S.A.;     ;
37729     ;MUNICH RE DO BRASIL RESSEGURADORA S.A.;     ;
37753     ;SOMPO RESSEGURADORA S.A.;     ;
37893     ;FM RESSEGUROS S.A. ;     ;
38253     ;CHUBB RESSEGURADORA BRASIL S.A.;     ;
38270     ;SWISS RE BRASIL RESSEGUROS S/A;     ;
38741     ;AIG RESSEGUROS BRASIL S.A.;     ;
38873     ;JUNTO RESSEGUROS S.A.;     ;
39764     ;AUSTRAL RESSEGUROS ESPECIAIS S.A.;     ;
40096     ;TORUS SPECIALTY INSURANCE COMPANY;     ;
40126     ;XL RE EUROPE SE;     ;
40207     ;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE;     ;
40215     ;MAPFRE RE COMPAÑÍA DE REASEGUROS S.A.;     ;
40851     ;CHUBB TEMPEST REINSURANCE LTD.;     ;
41262     ;SCOR SE;     ;
41416     ;FACTORY MUTUAL INSURANCE COMPANY;     ;
41432     ;ODYSSEY REINSURANCE COMPANY;     ;
41491     ;HANNOVER RÜCK SE;     ;
41629     ;SCOR REINSURANCE COMPANY;     ;
42056     ;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS;     ;
42307     ;XL INSURANCE COMPANY SE;     ;
42463     ;LLOYD´S;     ;
42684     ;ARGO RE LTD.;     ;
42790     ;SWISS REINSURANCE COMPANY;     ;
42871     ;LIBERTY MUTUAL INSURANCE COMPANY;     ;
42951     ;TRANSAMERICA INTERNATIONAL RE (BERMUDA) LTD.;     ;
43290     ;XL RE LATIN AMERICA LTD. (CANCELADA);     ;
43419     ;STARR INSURANCE & REINSURANCE LIMITED;     ;
44661     ;SCOR GLOBAL LIFE AMERICAS REINSURANCE COMPANY;     ;
53635     ;MMA IARD S.A.;     ;
53651     ;HELVETIA SCHWEIZERISCHE VERSICHERUNGSGESELLSCHAFT AG;     ;
53724     ;AWP HEALTH & LIFE S.A ;     ;
54038     ;DEUTSCHE RUCKVERSICHERUNG AG;     ;
54127     ;AXIS INSURANCE COMPANY;     ;
54186     ;SWISS REINSURANCE AMERICA CORPORATION;     ;
54381     ;LIBERTY MUTUAL INSURANCE COMPANY;     ;
54488     ;CHUBB EUROPEAN GROUP SE;     ;
54534     ;SI INSURANCE (EUROPE) S.A.;     ;
54569     ;NOVA CASIOPEA RE S.A.;     ;
54666     ;ACE PROPERTY AND CASUALTY INSURANCE COMPANY;     ;
54810     ;MUNCHENER RUCKVERSICHERUNGS-GESSELLSCHAFT AKT. IN MUNCHEN;     ;
54925     ;TOKIO MARINE & NICHIDO FIRE INSURANCE CO.,LTD.;     ;
54933     ;THE NEW INDIA ASSURANCE COMPANY LTD.;     ;
54950     ;ASSICURAZIONI GENERALI S.P.A.;     ;
54984     ;SCOR GLOBAL P&C SE;     ;
55000     ;HOUSTON CASUALTY COMPANY;     ;
55042     ;SWISS RE CORPORATE SOLUTIONS AMERICA INSURANCE CORPORATION;     ;
55093     ;MAPFRE GLOBAL RISKS, COMPAÑIA INTERNACIONAL DE SEGUROS Y REASEGUROS S.A;     ;
55409     ;XL SPECIALTY INSURANCE COMPANY;     ;
55425     ;MS AMLIN AG;     ;
55433     ;IF P&C INSURANCE COMPANY LTD.;     ;
55514     ;NORWEGIAN HULL CLUB;     ;
55549     ;UNIPOLSAI ASSICURAZIONI S.P.A.;     ;
55573     ;HDI GLOBAL SE (ATUAL DENOMINAÇÃO DE HDI-GERLING INDUSTRIE VERSICHERUNG AG);     ;
55662     ;ACHMEA REINSURANCE COMPANY N.V.;     ;
55701     ;INSURANCE COMPANY OF GAZ INDUSTRY SOGAZ;     ;
55735     ;PARIS RE S.A.;     ;
55760     ;DELTA LLOYD SCHADEVERZEKERING N.V.;     ;
55875     ;COMPAÑIA ESPAÑOLA DE SEGUROS DE CRÉDITO A LA EXPORTACIÓN, SA.;     ;
55891     ;DELCREDERE/DUCROIRE;     ;
55921     ;SOMPO JAPAN INSURANCE INC.(ATUAL DENOMINAÇÃO DE SOMPO JAPAN NIPPONKOA INSURANCE INC);     ;
55956     ;AVIVA INSURANCE LIMITED;     ;
56090     ;AXA FRANCE IARD;     ;
56120     ;BERKSHIRE HATHAWAY INTERNATIONAL INSURANCE LIMITED;     ;
56235     ;STARR INTERNATIONAL (EUROPE) LIMITED;     ;
56286     ;ALLIED WORLD ASSURANCE COMPANY (REINSURANCE) PLC (ANTIGA ALLIED WORLD ASSURANCE COMPANY (REINSURANCE) LIMITED);     ;
56448     ;REASEGURADORA PATRIA S.A.;     ;
56502     ;EULER HERMES NORTH AMERICA INSURANCE COMPANY;     ;
56553     ;GENERAL REINSURANCE AG.;     ;
56561     ;AWP P&C S.A.(ANTIGA AGA INTERNATIONAL S.A).;     ;
56723     ;GENERALI ITALIA S.P.A.;     ;
56766     ;ASPEN INSURANCE UK LIMITED;     ;
56812     ;AXA FRANCE VIE;     ;
56847     ;W.R. BERKLEY INSURANCE (EUROPE) LIMITED;     ;
56898     ;AXIS REINSURANCE COMPANY;     ;
56901     ;FEDERAL INSURANCE COMPANY;     ;
56928     ;AXA GLOBAL RE (ANTIGA AXA GLOBAL P&C);     ;
56961     ;TALANX AG;     ;
57002     ;MSIG EUROPE SE (NOVA DENOMINAÇÃO DE MS AMLIN INSURANCE SE);     ;
57029     ;ENEL REINSURANCE - COMPAGNIA DI RIASSICURAZIONE S.P.A;     ;
57053     ;SIRIUS AMERICA INSURANCE COMPANY (ATUAL DENOMINAÇÃO DA WHITE MOUNTAINS REINSURANCE COMPANY OF AMERICA);     ;
57088     ;SWISS RE FRANKONA RÜCKVERSICHERUNGS-AKTIENGESELLSCHAFT;     ;
57134     ;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS;     ;
57398     ;MARKEL INTERNATIONAL INSURANCE COMPANY LIMITED;     ;
57401     ;AXA VERSIGHERUNG AG ;     ;
57461     ;SCHWEIZERISCHE NATIONAL - VERSICHERUNGS - GESELLSCHAFT AG ( INATIVA );     ;
57495     ;SWISS RE EUROPE S.A.;     ;
57631     ;ASSURANCEFORENINGEN SKULD (GJENSIDIG);     ;
57665     ;TOKIO MARINE KILN INSURANCE LIMITED;     ;
57703     ;GENERAL INSURANCE CORPORATION OF INDIA;     ;
57720     ;HANNOVER RÜCKVERSICHERUNG AG;     ;
57746     ;AXA CORPORATE SOLUTIONS ASSURANCE;     ;
57754     ;COFACE RE S.A.;     ;
57843     ;TRAVELERS CASUALTY AND SURETY COMPANY OF AMERICA;     ;
57894     ;CONTINENTAL CASUALTY COMPANY;     ;
57959     ;SWISS RE CORPORATE SOLUTIONS LTD.;     ;
58050     ;ALLIANZ  SE;     ;
58076     ;THE TOA REINSURANCE COMPANY OF AMERICA;     ;
58173     ;IRONSHORE SPECIALTY INSURANCE COMPANY;     ;
58181     ;ARCH REINSURANCE COMPANY;     ;
58254     ;AMERICAN HOME ASSURANCE COMPANY;     ;
58271     ;TOKIO MILLENNIUM RE (UK) LIMITED (NOVA DENOMINAÇÃO DE TOKIO MARINE GLOBAL LTD.);     ;
58360     ;OMNIUM REINSURANCE COMPANY S.A.;     ;
58378     ;ALLIED WORLD ASSURANCE COMPANY (EUROPE) LIMITED (ANTIGA ALLIED WORLD ASSURANCE COMPANY (EUROPE) PUBLIC LIMITED COMPANY);     ;
58645     ;SOLEN VERSICHERUNGEN AG;     ;
58661     ;GENERALI ESPAÑA, S.A. DE SEGUROS Y REASEGUROS;     ;
58742     ;ODYSSEY AMERICA REINSURANCE CORPORATION;     ;
58777     ;GLACIER REINSURANCE AG;     ;
58807     ;AXA SA;     ;
58815     ;AXIS RE LIMITED;     ;
58840     ;UNIPOL ASSICURAZIONI S.P.A;     ;
58874     ;ZURICH INSURANCE COMPANY;     ;
58921     ;UNITED STATES FIRE INSURANCE COMPANY;     ;
58963     ;GENERALI ESPAÑA DE SEGUROS Y REASEGUROS, S.A.;     ;
58998     ;FIDELIDADE - COMPANHIA DE SEGUROS S.A.;     ;
59005     ;SCOR SE;     ;
59048     ;SAVA REINSURANCE COMPANY D.D.;     ;
59137     ;SCOR SWITZERLAND AG;     ;
59226     ;AXA XL  INSURANCE COMPANY UK LIMITED;     ;
59277     ;ENEL INSURANCE N.V.;     ;
59536     ;COMPAGNIE FRANÇAISE D'ASSURANCE POUR LE COMMERCE EXTÉRIEUR - COFACE;     ;
59552     ;KB INSURANCE COMPANY LIMITED (ANTIGA LIG INSURANCE COMPANY LIMITED);     ;
59609     ;SEGUROS INBURSA, S.A.;     ;
59641     ;CONVEX INSURANCE UK LIMITED;     ;
59765     ;FACTORY MUTUAL INSURANCE COMPANY;     ;
59803     ;WESTPORT INSURANCE CORPORATION;     ;
59889     ;FM INSURANCE COMPANY LIMITED;     ;
59986     ;ZURICH INSURANCE PUBLIC LIMITED COMPANY;     ;
67407     ;IBRACOR;     ;
70076     ;MEXBRIT BRASIL CORRETORA DE RESSEGUROS LTDA.;     ;
70092     ;LOCKTON RE BRASIL CORRETORA DE RESSEGUROS LTDA;     ;
70203     ;CIRCLES GROUP BRASIL CORRETORA DE RESSEGURO S.A;     ;
70211     ;PWS BRASIL CORRETORA DE RESSEGUROS LTDA;     ;
70858     ;GUY CARPENTER & COMPANY CORRETORA DE RESSEGUROS LTDA.;     ;
70939     ;NAUSCH HOGAN & MURRAY BRASIL CORRETORA DE RESSEGUROS LTDA;     ;
71269     ;BKS RE - CORRETORA DE RESSEGUROS LTDA.;     ;
71412     ;GALLAGHER BRASIL  CORRETORA DE RESSEGUROS LTDA.;     ;
71439     ;MILLER DO BRASIL CORRETORA DE RESSEGUROS LTDA.;     ;
71498     ;ARTHUR J. GALLAGHER BRASIL CORRETORA DE RESSEGUROS LTDA.;     ;
71625     ;CARPENTER MARSH FAC BRASIL CORRETORA DE RESSEGUROS LTDA.;     ;
72460     ;GLOBAL RISK BRASIL CORRETORA DE RESSEGUROS LTDA;     ;
72796     ;ESPECIALIZADA RE CORRETORA DE RESSEGUROS;     ;
72877     ;CORMATT - CORRETORA DE RESSEGUROS LTDA.;     ;
72958     ;ARX-RE CORRETORA DE RESSEGUROS LTDA;     ;
73067     ;KNW BROKERS CORRETORA DE RESSEGUROS LTDA. (ANTIGA AFL BRAZIL CORRETORA DE RESSEGUROS LTDA.);     ;
73296     ;BRISK RE CORRETORA DE RESSEGUROS LTDA.;     ;
73415     ;ARG BRASIL CORRETORA DE RESSEGUROS LTDA;     ;
74381     ;ONEGLOBAL BRASIL CORRETORA DE RESSEGUROS LTDA;     ;
74667     ;LOCKTON RE CORRETORA DE RESSEGUROS LTDA;     ;
74811     ;UIB RE BRASIL CORRETORA DE RESSSEGUROS LTDA;     ;
74926     ;ASSURE INTERNACIONAL CORRETAGEM DE RESSEGUROS LTDA;     ;
74934     ;BTG PACTUAL CORRETORA DE RESSEGUROS LTDA.;     ;
74951     ;LENIX RE DO BRASIL CORRETORA DE RESSEGUROS LTDA;     ;
75001     ;CATALYST RE CORRETORA DE RESSEGUROS LTDA.;     ;
75434     ;WILLIS CORRETORA DE RESSEGUROS LTDA.;     ;
75574     ;SAVE-RE BRASIL CORRETORA DE RESSEGUROS LTDA.;     ;
75663     ;CONNEXUS CORRETAGEM E CONSULTORIA EM RESSEGURO LTDA;     ;
75761     ;BESSO RE BRASIL CORRETORA DE RESSEGUROS LTDA.;     ;
75825     ;QUALISEG BRASIL RE CORRETORA DE RESSEGUROS LTDA;     ;
75922     ;NMB BRASIL CORRETORA DE RESSEGUROS LTDA;     ;
75957     ;INTER CORRETORA DE RESSEGUROS LTDA.;     ;
76236     ;BMS BRASIL CORRETORA DE RESSEGUROS LTDA;     ;
76503     ;HOWDEN RE CORRETORA DE RESSEGUROS LTDA. ;     ;
76554     ;ALBATROZ CORRETORA DE RESSEGUROS LTDA;     ;
76767     ;ALPER RE CORRETORA DE RESSEGUROS LTDA.(EX-C6 SEG DO BRASIL CORRETORA DE RESSEGUROS LTDA.);     ;
77003     ;BRAZIL RE CORRETORA DE RESSEGUROS LTDA.;     ;
77054     ;HOWDEN CORRETORA DE RESSEGUROS LTDA;     ;
77089     ;BRIB CORRETORA DE RESSEGUROS LTDA;     ;
77402     ;TRUSTER BRASIL CORRETAGEM DE RESSEGUROS LTDA.;     ;
77704     ;U.S. RE DO BRASIL CORRETORA DE RESSEGUROS LTDA.;     ;
77721     ;BENFIELD DO BRASIL CORRETORA DE RESSEGUROS LTDA.;     ;
77747     ;GALLAGHER RE LATIN AMERICA CORRETORA DE RESSEGUROS LTDA.;     ;
77895     ;GALCORR CORRETORA DE RESSEGUROS LTDA;     ;
78182     ;MADALOZZO RE CORRETORA DE RESSEGUROS LTDA.;     ;
78255     ;PECUS CORRETORA DE RESSEGUROS LTDA;     ;
78271     ;JLT RE BRASIL ADMINISTRAÇÃO E CORRETAGEM DE RESSEGUROS LTDA;     ;
78743     ;AON BRASIL CORRETORA DE RESSEGUROS LTDA. (ANTIGA AON BENFIELD BRASIL CORRETORA DE RESSEGUROS LTDA.);     ;
78778     ;ORYPABA RIO ADMINISTRAÇÃO E CORRETAGEM DE RESSEGUROS LTDA;     ;
78816     ;INTER AEROSPACE CORRETORA DE SEGUROS LTDA.;     ;
78875     ;CAPITAL RE CORRETORA DE RESSEGUROS E SERVIÇOS LTDA.;     ;
78999     ;ACRISURE BRASIL CORRETORA DE RESSEGUROS LTDA.;     ;
79006     ;LOCKTON RE BRASIL CORRETORA DE RESSEGUROS LTDA;     ;
79553     ;PROMASS CORRETORA DE RESSEGUROS LTDA;     ;
79766     ;MDS RE CORRETORA DE RESSEGUROS LTDA.;     ;
79863     ;LATIN AMERICA RE ADMINISTRAÇÃO E CORRETAGEM DE RESSEGUROS LTDA.;     ;
90000     ;CIA RENASCENÇA DE SEGUROS;     ;
90001     ;BRASIL LIBANO CIA DE SEGUROS GERAIS;     ;
90002     ;METROPOLE CIA NACIONAL DE SEGUROS DE ACIDENTES DE TRABALHO S/A;     ;
90003     ;ANCHIETA CIA DE SEGUROS GERAIS;     ;
90004     ;CIA NORDESTE DE SEGUROS;     ;
90005     ;CIA NACIONAL DE SEGUROS IPIRANGA;     ;
90006     ;CIA DE SEGUROS MARITMO E TERRESTRE INTEGRIDADE;     ;
90007     ;ALIANÇA RIO GRANDENSE DE SEGUROS GERAIS;     ;
90008     ;BRASILUSITANA CIA NACIONAL DE SEGUROS GERAIS;     ;
90009     ;CIA DE SEGUROS VITORIA;     ;
90010     ;MAUÁ CAPITALIZAÇÃO S/A;     ;
90011     ;CIA URBANIA DE CAPITALIZAÇÃO S/A;     ;
90013     ;CIA PRUDENCIA DE CAPITALIZAÇÃO;     ;
90014     ;CIA SATURNIA CAPITALIZAÇÃO S/A;     ;
90015     ;PRUDENTIAL ASSURANCE CIA LIMITED;     ;
90016     ;PEAR ASSURANCE CIA LIMITED;     ;
90017     ;CIA DE SEGUROS MAR. E TER. NIÃO FLUMINENSE;     ;
90018     ;CIA UBM DE SEGURIDADE SOCIAL;     ;
90019     ;UNIÃO AMERICANA DE CAPITALIZAÇÃO S/A;     ;
90020     ;CIA VERA CRUZ;     ;
90021     ;SEGURANÇA INDUSTRIAL CIA NACIONAL DE SEGUROS;     ;
90022     ;CIA LEGAL AND GENERAL ASSURANCE SOCIETE LIMITED;     ;
90023     ;CIA RIO GRANDENSE;     ;
90024     ;CIA ESTADOS UNIDOS DE SEGUROS;     ;
90025     ;CIA EQUITATIVA DOS ESTADOS UNIDOS DO BRASIL;     ;
90026     ;ASSOCIAÇÃO BRASILEIRA DE PECULIOS-UNIÃO;     ;
90027     ;PROTETORA-CIA SEG CONTRA ACID DE TRABALHO;     ;
90028     ;CIA SEGURADORA DOS PROPRIETÁRIOS DO BRASIL;     ;
90030     ;MONTEPIO NACIONAL DOS BANCÁRIOS;     ;
90031     ;CIA INTERNACIONAL DE PREVIDÊNCIA PRIVADA;     ;
90032     ;INTERESTADUAL DE SEGUROS S/A;     ;
90033     ;CIA REAL DE SEGUROS;     ;
90034     ;PLANALTO CIA DE SEGUROS GERAIS;     ;
90035     ;COLUMBIA CIA NACIONAL DE SEGUROS GERAIS;     ;
90036     ;CIA DE SEGUROS UNIÃO NACIONAL S/A;     ;
90037     ;INSTITUTO BRASILEIRO DE PREVIDÊNCIA PRIVADA S/A - IBRAPP;     ;
90038     ;RENDA S/A DE APOSENTADORIA E PENSÃO;     ;
90040     ;CRUZEIRO DO SUL CAPITALIZAÇÃO;     ;
90041     ;MONTEVAN MONTEPIO BRASILEIRO;     ;
90042     ;CIA LIVERPOOL AND LONDON AND GLOBO INC. CO. LIMIT;     ;
90043     ;COLONIAL CIA NACIONAL DE SEGUROS GERAIS;     ;
90044     ;CIA INSS DE SEGURIDADE SOCIAL;     ;
90045     ;ARSEG-ASSOCIAÇÃO REEMBOLSÁVEL DE SEGURIDADE;     ;
90046     ;PROVIDA S/A PREVIDÊNCIA PRIVADA;     ;
90047     ;MONTEPAR SOCIEDADE PREVIDENCIARIA;     ;
90048     ;SABEMI SOCIEDADE DE APOSENTADORIA DE BENEFICÊNCIA;     ;
90049     ;SDB COMPANHIA DE SEGUROS GERAIS;     ;
90050     ;CIA INTERCONTINENTAL DE CAPITALIZAÇÃO;     ;
90051     ;CAP PREVIDÊNCIA PRIVADA S/A;     ;
90052     ;EQUITATIVA TERRESTRES ACIDENTES E TRANSPORTES;     ;
90053     ;EXSIPREV SISTEMA NACIONAL DE PREVIDÊNCIA PRIVADA;     ;
90054     ;CIA COLINA DE SEGUROS;     ;
90055     ;SEGURADORA PONTUAL S/A;     ;
90056     ;UNIÃO AMERICANA DE CAPITALIZAÇÃO;     ;
90057     ;URBANO CAPITALIZAÇÃO;     ;
90058     ;PATRIMONIAL DE SEGUROS GERAIS;     ;
10448     ;GBOEX - GREMIO BENEFICENTE;     ;
06173     ;KOVR PREVIDÊNCIA S.A;     ;
06921     ;KOVR SEGURADORA S.A.;     ;
21318     ;KOVR CAPITALIZAÇÃO S.A.;     ;
23540     ;VIA CAPITALIZAÇÃO S.A.;     ;
24813     ;APLICAP CAPITALIZAÇÃO S.A;     ;
25003     ;COMPANHIA URANO DE CAPITALIZAÇÃO;     ;
06963     ;GNPP SEGURADORA S/A;     ;
10740     ;MONTEVAN PREVIDENCIA PRIVADA S/A (ATUAL CDI-CIA DE INVESTIMENTOS E PARTICIPAÇÕES);     ;
10855     ;COMPANHIA INTERNACIONAL DE PREVIDÊNCIA PRIVADA;     ;
03948     ;SEGURADORA SA INFINITE;     ;
05053     ;CONFIANÇA CIA DE SEGUROS;     ;
05754     ;NOBRE SEGURADORA DO BRASIL S.A.;     ;
05967     ;AVS SEGURADORA S/A;     ;
16764     ;MONTEPIO MFM ;     ;
21881     ;INTERUNION CAPITALIZAÇÃO S.A.;     ;
07056     ;COMPANHIA CENTRAL DE SEGUROS;     ;
90039     ;CIA CENTRAL DE SEGUROS;     ;
01147     ;FEDERAL VIDA E PREVIDÊNCIA S.A.;     ;
05002     ;FEDERAL DE SEGUROS S.A.;     ;
05223     ;GNPP - PROVIDA SEGURADORA S/A;     ;
05231     ;BCS SEGUROS S.A.;     ;
05291     ;SÃO PAULO CIA NACIONAL DE SEGUROS GERAIS;     ;
05304     ;COMPANHIA INTERNACIONAL DE SEGUROS;     ;
05347     ;EDEL SEGURADORA S.A.                    ;     ;
05428     ;MARTINELLI SEGURADORA S/A;     ;
05525     ;INTERBRAZIL SEGURADORA S/A;     ;
05576     ;CRUZEIRO DO SUL - COMPANHIA SEGURADORA;     ;
05762     ;SANTOS CIA DE SEGUROS;     ;
05771     ;COMPANHIA INTERESTADUAL DE SEGUROS;     ;
05860     ;CATARINENSE DE SEGUROS S/A;     ;
05878     ;SULINA SEGURADORA S/A;     ;
05959     ;SEGURANÇA CIA DE SEGUROS E PREVIDENCIA  ;     ;
06025     ;CARIOCA SEGURADORA S/A;     ;
06050     ;MAXLIFE SEGURADORA DO BRASIL S.A.;     ;
06068     ;SANTOS SEGURADORA S.A.;     ;
06131     ;COMPANHIA MUTUAL DE SEGUROS;     ;
06327     ;PLANALTO COMPANHIA DE SEGUROS GERAIS;     ;
06424     ;SDB CIA SEGUROS GERAIS;     ;
06521     ;CAIXAGERAL S/A SEGURADORA;     ;
06629     ;AJAX CIA NACIONAL DE SEGUROS;     ;
