Coenti;Noenti;Cogrupo;Nogrupo
07005     ;NOVA YORK COMPANHIA DE SEGUROS;     ;
07102     ;CASTELLO COSTA COMPANHIA DE SEGUROS;     ;
07269     ;COMPANHIA PATRIMONIAL DE SEGUROS GERAIS;     ;
10065     ;APLUB - ASSOCIAÇÃO DOS PROFISSIONAIS LIBERAIS UNIVERSITÁRIOS DO BRASIL;     ;
10359     ;CORRFA PREVIDÊNCIA PRIVADA;     ;
10405     ;EMPRESARIAL DE PREVIDÊNCIA PRIVADA;     ;
10472     ;GEPLAN SOCIEDADE DE PREVIDENCIA PRIVADA;     ;
10596     ;PREVBRAS- SOCIEDADE NACIONAL DE PREVIDÊNCIA PRIVADA;     ;
10715     ;EMBRASIL PREVIDENCIA PRIVADA            ;     ;
17728     ;MONTEPIO NACIONAL DOS TRABALHADORES NA INDÚSTRIA DE ENERGIA ELETRICA - MONTIENE;     ;
18813     ;MONTEPIO BENEFICENTE MONTESE;     ;
20273     ;VALOR CAPITALIZAÇÃO S/A;     ;
20451     ;MEGACAP CAPITALIZAÇÃO S.A. (ATUAL DENOMINAÇÃO DE GLOBAL CAPITALIZAÇÃO S.A.);     ;
44717     ;AFRICAN REINSURANCE CORPORATION;     ;
44814     ;PARTNER REINSURANCE EUROPE SE (ANTIGA PARTNER REINSURANCE EUROPE PUBLIC LIMITED COMPANY);     ;
44920     ;EVEREST REINSURANCE COMPANY;     ;
44938     ;FINANCIAL ASSURANCE COMPANY LIMITED;     ;
45004     ;INTACT INSURANCE UK LIMITED (EX-ROYAL & SUN ALLIANCE INSURANCE PLC);     ;
45420     ;CATLIN RE SWITZERLAND LTD;     ;
45896     ;GARD MARINE & ENERGY LIMITED ;     ;
45926     ;ARDEN REINSURANCE COMPANY LTD. ( ANTIGA ARIEL REINSURANCE COMPANY LTD.);     ;
45951     ;ATRADIUS REINSURANCE DESIGNATED ACTIVITY COMPANY;     ;
46507     ;AXIS RE SE;     ;
46761     ;FEDERAL INSURANCE COMPANY;     ;
47082     ;HDI GLOBAL NETWORK AG;     ;
47406     ;FINANCIAL INSURANCE COMPANY LIMITED;     ;
47660     ;WESTPORT INSURANCE CORPORATION;     ;
47708     ;XL CATLIN INSURANCE COMPANY UK LIMITED (ANTIGA CATLIN INSURANCE COMPANY (UK) LTD);     ;
47724     ;MITSUI SUMITOMO INSURANCE COMPANY, LIMITED;     ;
47741     ;TOKIO MARINE & NICHIDO FIRE INSURANCE CO., LTD.;     ;
47848     ;BERKLEY INSURANCE COMPANY;     ;
48178     ;RGA GLOBAL REINSURANCE COMPANY, LTD.;     ;
48186     ;MÜNCHENER RÜCKVERSICHERUNGS-GESELLSCHAFT AKTIENGESELLSCHAFT IN MÜNCHEN;     ;
48259     ;TRANSATLANTIC REINSURANCE COMPANY;     ;
48275     ;ZURICH INSURANCE COMPANY;     ;
48747     ;SWISS REINSURANCE AMERICA CORPORATION;     ;
48879     ;GENERAL REINSURANCE AG;     ;
49000     ;GENERAL INSURANCE CORPORATION OF INDIA;     ;
49131     ;ARCH REINSURANCE LTD.;     ;
49760     ;AMERICAN HOME ASSURANCE COMPANY;     ;
50075     ;SIRIUSPOINT INTERNATIONAL INSURANCE CORPORATION;     ;
50091     ;ARCH INSURANCE COMPANY ;     ;
50121     ;TRANSATLANTIC REINSURANCE COMPANY;     ;
50202     ;SAMSUNG FIRE & MARINE INSURANCE CO., LTD.;     ;
50211     ;LIBERTY MUTUAL INSURANCE EUROPE SE (ANTIGA LIBERTY MUTUAL INSURANCE EUROPE LIMITED);     ;
50326     ;AGEAS SA/NV;     ;
50466     ;CNPC CAPTIVE INSURANCE COMPANY LIMITED;     ;
50598     ;VHV ALLGEMEINE VERSICHERUNG AG;     ;
50601     ;AMERICAN LIFE INSURANCE COMPANY;     ;
50679     ;JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A);     ;
50768     ;GUARDIAN LIFE OF THE CARIBBEAN LIMITED;     ;
50806     ;AFRICAN REINSURANCE CORPORATION;     ;
50822     ;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE;     ;
50857     ;AGRINATIONAL INSURANCE COMPANY;     ;
50938     ;BALOISE INSURANCE LTD;     ;
51063     ;SEOUL GUARANTEE INSURANCE COMPANY;     ;
51276     ;ODYSSEY REINSURANCE COMPANY;     ;
51411     ;NEW REINSURANCE COMPANY (NOUVELLE COMPAGNIE DE RÉASSURANCES);     ;
51438     ;HCC INTERNATIONAL INSURANCE COMPANY PLC;     ;
51497     ;EVEREST REINSURANCE COMPANY;     ;
51551     ;ENDURANCE ASSURANCE CORPORATION (ATUAL DENOMINAÇÃO DE ENDURANCE REINSURANCE CORPORATION OF AMERICA);     ;
51578     ;HYUNDAI MARINE & FIRE INSURANCE COMPANY LIMITED;     ;
51586     ;QBE EUROPE SA/NV;     ;
